method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score,answer_confidence_mean,insufficient_information_rate,direct_evidence_rate,evidence_supported_rate,wrong_high_confidence_count,correct_low_confidence_count
luke7/1.7b/google_word_by_word,evaluation/outputs/luke7/1.7b/google_word_by_word/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.5,0,,0,0,0,0,0.6944444444444444,,,,,,
luke1/llama 1b/omission/20%,evaluation/outputs/luke1/llama 1b/omission/20%/scores_target_window3_v2.json,44,22,19,0.8636363636363636,22,22,0.5227272727272727,0,,0,0,0,0,0.6931818181818182,,,,,,
luke1/llama 1b/grammar/30%,evaluation/outputs/luke1/llama 1b/grammar/30%/scores_target_window3_v2.json,44,22,20,0.9090909090909091,22,22,0.4772727272727273,0,,0,0,0,0,0.6931818181818182,,,,,,
luke5/llama 1b/omission/30%,evaluation/outputs/luke5/llama 1b/omission/30%/scores_target_window3_v2.json,22,11,9,0.8181818181818182,11,11,0.5454545454545454,0,,0,0,0,0,0.6818181818181818,,,,,,
luke4/1.7b/omission/20%,evaluation/outputs/luke4/1.7b/omission/20%/scores_target_window3_v2.json,33,17,12,0.7058823529411765,16,16,0.65625,0,,0,0,0,0,0.6818181818181818,,,,,,
luke2/llama 1b/omission/10%,evaluation/outputs/luke2/llama 1b/omission/10%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.36363636363636365,0,,0,0,0,0,0.6818181818181818,,,,,,
luke2/llama 1b/google_word_by_word,evaluation/outputs/luke2/llama 1b/google_word_by_word/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.45454545454545453,0,,0,0,0,0,0.6818181818181818,,,,,,
luke8/llama 1b/omission/0%,evaluation/outputs/luke8/llama 1b/omission/0%/scores_target_window3_v2.json,18,9,8,0.8888888888888888,9,9,0.4444444444444444,0,,0,0,0,0,0.6666666666666666,,,,,,
luke8/1.5b/google_word_by_word,evaluation/outputs/luke8/1.5b/google_word_by_word/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.6666666666666666,0,,0,0,0,0,0.6666666666666666,,,,,,
luke7/llama 1b/omission/0%,evaluation/outputs/luke7/llama 1b/omission/0%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.5555555555555556,0,,0,0,0,0,0.6666666666666666,,,,,,
luke7/1.7b/mistranslation/20%,evaluation/outputs/luke7/1.7b/mistranslation/20%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.5555555555555556,0,,0,0,0,0,0.6666666666666666,,,,,,
luke2/llama 1b/mistranslation/20%,evaluation/outputs/luke2/llama 1b/mistranslation/20%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.4090909090909091,0,,0,0,0,0,0.6590909090909091,,,,,,
luke1/llama 1b/google_word_by_word,evaluation/outputs/luke1/llama 1b/google_word_by_word/scores_target_window3_v2.json,44,22,18,0.8181818181818182,22,22,0.5,0,,0,0,0,0,0.6590909090909091,,,,,,
luke4/llama 1b/omission/10%,evaluation/outputs/luke4/llama 1b/omission/10%/scores_target_window3_v2.json,34,17,12,0.7058823529411765,17,17,0.5882352941176471,0,,0,0,0,0,0.6470588235294118,,,,,,
luke4/llama 1b/google_word_by_word,evaluation/outputs/luke4/llama 1b/google_word_by_word/scores_target_window3_v2.json,34,17,12,0.7058823529411765,17,17,0.5882352941176471,0,,0,0,0,0,0.6470588235294118,,,,,,
luke3/llama 1b/mistranslation/20%,evaluation/outputs/luke3/llama 1b/mistranslation/20%/scores_target_window3_v2.json,14,7,5,0.7142857142857143,7,7,0.5714285714285714,0,,0,0,0,0,0.6428571428571429,,,,,,
luke3/llama 1b/google_word_by_word,evaluation/outputs/luke3/llama 1b/google_word_by_word/scores_target_window3_v2.json,14,7,5,0.7142857142857143,7,7,0.5714285714285714,0,,0,0,0,0,0.6428571428571429,,,,,,
luke8/llama 1b/omission/30%,evaluation/outputs/luke8/llama 1b/omission/30%/scores_target_window3_v2.json,18,9,7,0.7777777777777778,9,9,0.5,0,,0,0,0,0,0.6388888888888888,,,,,,
luke4/llama 1b/omission/20%,evaluation/outputs/luke4/llama 1b/omission/20%/scores_target_window3_v2.json,34,17,13,0.7647058823529411,17,17,0.5,0,,0,0,0,0,0.6323529411764706,,,,,,
luke4/llama 1b/mistranslation/20%,evaluation/outputs/luke4/llama 1b/mistranslation/20%/scores_target_window3_v2.json,34,17,11,0.6470588235294118,17,17,0.6176470588235294,0,,0,0,0,0,0.6323529411764706,,,,,,
luke5/llama 1b/google_word_by_word,evaluation/outputs/luke5/llama 1b/google_word_by_word/scores_target_window3_v2.json,22,11,8,0.7272727272727273,11,11,0.5,0,,0,0,0,0,0.6136363636363636,,,,,,
luke8/1.7b/google_word_by_word,evaluation/outputs/luke8/1.7b/google_word_by_word/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.5555555555555556,0,,0,0,0,0,0.6111111111111112,,,,,,
luke4/1.7b/omission/30%,evaluation/outputs/luke4/1.7b/omission/30%/scores_target_window3_v2.json,33,17,11,0.6470588235294118,16,16,0.5625,0,,0,0,0,0,0.6060606060606061,,,,,,
luke2/llama 1b/omission/30%,evaluation/outputs/luke2/llama 1b/omission/30%/scores_target_window3_v2.json,22,11,10,0.9090909090909091,11,11,0.2727272727272727,0,,0,0,0,0,0.5909090909090909,,,,,,
luke4/llama 1b/omission/30%,evaluation/outputs/luke4/llama 1b/omission/30%/scores_target_window3_v2.json,34,17,11,0.6470588235294118,17,17,0.5294117647058824,0,,0,0,0,0,0.5882352941176471,,,,,,
luke7/llama 1b/mistranslation/20%,evaluation/outputs/luke7/llama 1b/mistranslation/20%/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.5,0,,0,0,0,0,0.5833333333333334,,,,,,
luke3/llama 1b/omission/30%,evaluation/outputs/luke3/llama 1b/omission/30%/scores_target_window3_v2.json,14,7,3,0.42857142857142855,7,7,0.7142857142857143,0,,0,0,0,0,0.5714285714285714,,,,,,
luke3/llama 1b/omission/20%,evaluation/outputs/luke3/llama 1b/omission/20%/scores_target_window3_v2.json,14,7,3,0.42857142857142855,7,7,0.7142857142857143,0,,0,0,0,0,0.5714285714285714,,,,,,
luke1/llama 1b/omission/30%,evaluation/outputs/luke1/llama 1b/omission/30%/scores_target_window3_v2.json,44,22,17,0.7727272727272727,22,22,0.36363636363636365,0,,0,0,0,0,0.5681818181818182,,,,,,
luke7/llama 1b/omission/10%,evaluation/outputs/luke7/llama 1b/omission/10%/scores_target_window3_v2.json,18,9,5,0.5555555555555556,9,9,0.5555555555555556,0,,0,0,0,0,0.5555555555555556,,,,,,
luke7/1.7b/omission/30%,evaluation/outputs/luke7/1.7b/omission/30%/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.4444444444444444,0,,0,0,0,0,0.5555555555555556,,,,,,
luke7/llama 1b/omission/20%,evaluation/outputs/luke7/llama 1b/omission/20%/scores_target_window3_v2.json,18,9,5,0.5555555555555556,9,9,0.5,0,,0,0,0,0,0.5277777777777778,,,,,,
luke7/llama 1b/google_word_by_word,evaluation/outputs/luke7/llama 1b/google_word_by_word/scores_target_window3_v2.json,18,9,6,0.6666666666666666,9,9,0.3888888888888889,0,,0,0,0,0,0.5277777777777778,,,,,,
luke8/llama 1b/google_word_by_word,evaluation/outputs/luke8/llama 1b/google_word_by_word/scores_target_window3_v2.json,18,9,5,0.5555555555555556,9,9,0.4444444444444444,0,,0,0,0,0,0.5,,,,,,
luke8/llama 1b/mistranslation/20%,evaluation/outputs/luke8/llama 1b/mistranslation/20%/scores_target_window3_v2.json,18,9,5,0.5555555555555556,9,9,0.3333333333333333,0,,0,0,0,0,0.4444444444444444,,,,,,
luke7/llama 1b/omission/30%,evaluation/outputs/luke7/llama 1b/omission/30%/scores_target_window3_v2.json,18,9,4,0.4444444444444444,9,9,0.3888888888888889,0,,0,0,0,0,0.4166666666666667,,,,,,
